"year","EW_median","FR_median","IC_SW_median","IR_median","NI_FB_median","NI_FO_median","SC_EA_median","SC_WE_median","EW_q5","FR_q5","IC_SW_q5","IR_q5","NI_FB_q5","NI_FO_q5","SC_EA_q5","SC_WE_q5","EW_q95","FR_q95","IC_SW_q95","IR_q95","NI_FB_q95","NI_FO_q95","SC_EA_q95","SC_WE_q95"
1991,0.167166072672885,0.695839874996035,0.908910260583991,1.57539691307273,1.16145194897515,0.891300308308709,0.251939794641435,0.994708892053137,-0.139701079623854,0.226892743170326,0.704512213116425,1.36394948760507,1.00571967000973,0.731534099515695,-0.0827151184433276,0.710030198899744,0.487639689096461,1.1624961688248,1.11273051816572,1.78626610392759,1.31804118932922,1.04607219166085,0.574316065167412,1.26763834520492
1992,0.424140695077286,1.13920189445589,1.69094606548048,1.67720067394943,0.903699191403955,0.792885600937924,0.488301036216924,1.27397419912741,0.117320735683009,0.702683576173532,1.49181453554536,1.39201602576609,0.759115666730906,0.645671859499944,0.175761660329245,0.979478906112568,0.739343930639587,1.58036530795849,1.89329336976154,1.96648952757633,1.04993706743852,0.93824226749238,0.803375755959753,1.57326320835259
1993,0.533500162156296,1.35422502030053,1.42682529981678,1.41548971260614,1.81820132057097,2.09727238227461,0.58716621459152,1.3944442355899,0.243964609022434,0.947750551093838,1.23378519335967,1.22363782180401,1.65408337616083,1.92951295930015,0.285568191993013,1.11583894691537,0.83547619187291,1.76910317950202,1.62318184421726,1.60813014071622,1.98243300762152,2.2645170223064,0.901609054579048,1.66730767882808
1994,0.429473935313668,1.07205928650024,1.12749867720394,1.663866348805,1.83219932571751,1.98513042009691,0.514619815690541,1.43147002417524,0.14574823921346,0.694439332028692,0.934162078545753,1.48503788296221,1.67320806484308,1.82596425556888,0.222899012049504,1.15783338664131,0.722876045677752,1.46154934833519,1.32611832110427,1.84146246180446,1.9885883169306,2.14102658306131,0.807924871297154,1.70545073690117
1995,0.442140277482156,0.655150514453772,1.63703353294036,2.0326430608571,1.68303810731025,1.77060490472789,0.501439505540888,1.33907657344092,0.130629365321192,0.262294479144069,1.44105399280526,1.84288269023996,1.41490971634556,1.49269093993268,0.182222643414285,1.03496255761496,0.749635233341537,1.03982524874028,1.82723707012099,2.22603768790232,1.944501343651,2.05059608610007,0.813868328980802,1.63446141588349
1996,0.419930141770817,0.953761638899697,1.59859708910126,1.94119751642039,1.79779189285716,1.45973974183123,0.597887025688828,1.45775347541759,0.103750228332981,0.574465751330817,1.40281611244899,1.68158575700368,1.51054171733423,1.15370916520335,0.268070325834026,1.1426909562607,0.756900588680292,1.34966421252453,1.7910896830973,2.20594733833031,2.09188305022707,1.75380330840899,0.910280712966121,1.76211025672123
1997,0.460640254246199,0.727195119993598,1.6596230275493,2.23461748724642,1.58015060079102,1.61723757380578,0.571749797299077,1.38750559811589,0.119406728732204,0.330741529096009,1.45966637686953,2.0623337742847,1.26061442068723,1.2839516273384,0.240443461191382,1.07046560835532,0.809868933118779,1.11993684974451,1.85843567029397,2.41001845914249,1.90450711420984,1.95502461124551,0.915505974163857,1.69934174662379
1998,0.410151606192275,0.700449721362198,1.501940986762,2.04162132368144,2.46725717085276,2.72263597913448,0.660576637102196,1.6066609309984,0.0530327673149605,0.313129453505006,1.30064252485673,1.747971318897,2.20044527028463,2.44825653762181,0.336527094090765,1.27836133742911,0.764904094367588,1.07271029398592,1.70432664298172,2.3405503134603,2.73399887235019,2.994771445529,0.99071234270186,1.93247236354065
1999,0.271850409492095,0.648854260960216,2.22924739044555,1.79992649802434,1.83376207868938,1.35268904491017,0.463340207659423,1.38541033135781,-0.0908885666377595,0.260081599307615,2.02744398465396,1.60601033057209,1.71722170994265,1.12645693068155,0.130990676361608,1.07250239586386,0.629668646217068,1.02591240227991,2.42747559895962,1.99829979098934,1.95525144944905,1.58736194882901,0.785315379067765,1.69540132283417
2000,0.355003738201544,0.725932579579916,1.79050447843673,1.8815519332344,2.77101350674436,2.04368841998169,0.593488276794347,1.53641681606722,0.00813033375288941,0.339001911789847,1.59736289456149,1.6629019207017,2.66158171973709,1.86080990336161,0.269625172109369,1.21807615412652,0.70922084950462,1.11605113443198,1.98767329058411,2.10353323707015,2.88653058731702,2.22703145895296,0.921411727260866,1.85873315868274
