"year,""EW_median"",""FR_median"",""IC_SW_median"",""IR_median"",""NI_FB_median"",""NI_FO_median"",""SC_EA_median"",""SC_WE_median"",""EW_q5"",""FR_q5"",""IC_SW_q5"",""IR_q5"",""NI_FB_q5"",""NI_FO_q5"",""SC_EA_q5"",""SC_WE_q5"",""EW_q95"",""FR_q95"",""IC_SW_q95"",""IR_q95"",""NI_FB_q95"",""NI_FO_q95"",""SC_EA_q95"",""SC_WE_q95"""
2006,-2.32081257669252,-2.21685347469852,-1.4010087908407,-2.46984290173177,-1.74943901683362,-1.68971300576549,-2.05206166809586,-1.76697987056406,-2.72989353079853,-2.65377630852297,-1.82657914254291,-2.886594124904,-2.14229474214446,-2.09807467303164,-2.44067273109565,-2.15814938998099,-1.90347647382605,-1.77247344825619,-0.95126598081897,-2.05084461921044,-1.32586684034629,-1.26557443455525,-1.66729610258518,-1.3651812440289
2007,-2.32167045928565,-2.3161607631809,-1.40043755637328,-2.40027718194211,-2.07133868923828,-2.11103423897105,-2.12017728669012,-1.8635315070164,-2.73830496333338,-2.7702678452652,-1.82598513456208,-2.82147967554607,-2.48011942352058,-2.5454252906381,-2.50861610314683,-2.24935079053514,-1.91058269188451,-1.87157644583615,-0.941029120826797,-1.9782399018815,-1.64490154251667,-1.68150094036151,-1.73006598477728,-1.46415853939172
2008,-2.45297506102446,-2.46050473119202,-1.55194347185359,-2.33160283362176,-2.26730105585847,-2.38694563665177,-2.27005972664016,-2.03294527674692,-2.86308229434523,-2.91534198782625,-1.9646108634002,-2.73946845556619,-2.64835005592776,-2.79926167879709,-2.64066510472015,-2.41161165479344,-2.05815039852435,-2.03706460444388,-1.11354336878955,-1.93220894359747,-1.87524840959857,-1.97956756601095,-1.89293652087822,-1.64568859132312
2009,-2.14758318684646,-2.12940626531794,-1.49620126454879,-2.12967272705199,-2.42934964022225,-2.34823872585976,-2.04500033180739,-1.8808939529735,-2.57852647385731,-2.60079205728534,-1.93240135565819,-2.56976168493366,-2.81739035967126,-2.76598888206713,-2.43803949135339,-2.27805451677433,-1.69945263925982,-1.65213662431762,-1.03481133202375,-1.69032033650785,-2.02705193412186,-1.91655023539185,-1.64063379400299,-1.45959596562705
2010,-2.28260497394769,-2.07786211158834,-1.75507205214438,-2.19717602534711,-2.50385628401108,-2.37006114565521,-2.31987792966538,-2.06687794272919,-2.69137862258374,-2.51322428286701,-2.16246176625701,-2.61370473033708,-2.91499657476333,-2.8160650786617,-2.68734216613968,-2.45257340756298,-1.87719102925121,-1.64109947676996,-1.3300662788165,-1.76868588769694,-2.09540934630884,-1.94371554611755,-1.93775850044398,-1.67320560714585
2011,-2.43105985048749,-2.00584629024769,-2.02004554422828,-2.15183159283991,-2.50835207334737,-2.12080449530036,-2.44053889997273,-2.19418237250484,-2.84370409246164,-2.44427229092527,-2.43795776355612,-2.58985903890246,-2.91539069342722,-2.58283117747546,-2.81443741572059,-2.58748005151314,-2.00796395394394,-1.55121128888908,-1.59798516851187,-1.71351719029048,-2.12082388257083,-1.65811439653973,-2.05255792948149,-1.79577766007979
2012,-2.48257813391357,-2.01675487626277,-1.93682131563182,-2.30604128109263,-2.13054549379165,-2.00263932137852,-2.55549752294866,-2.36144903814914,-2.88474414201574,-2.44666712867799,-2.33666116147721,-2.72474970195953,-2.51041913509744,-2.45011741601625,-2.91755530687553,-2.74597417487744,-2.08059605492372,-1.56817434909485,-1.51247827137293,-1.88606933611268,-1.75100825344467,-1.52793507557284,-2.18215200798733,-1.97884857918273
2013,-2.57146752633757,-2.07286822762237,-2.51280768910465,-2.43520133894953,-2.47209077951881,-2.36892407495327,-2.70518843777901,-2.50186022202811,-3.00124455253239,-2.51511994247856,-2.91936666783281,-2.87076036199431,-2.87379075354839,-2.8373627323834,-3.08185647371442,-2.89348161399724,-2.14006784086924,-1.61387754035738,-2.11183465301376,-2.00237205676201,-2.05869309048487,-1.90778993731066,-2.32374667167493,-2.11792555532921
2014,-2.52910297452641,-2.17784593697961,-2.09389304513677,-2.34682924935839,-2.1706675462001,-2.3836131749575,-2.65237687177227,-2.52282457438359,-2.95117722603922,-2.61855838060265,-2.50088438445991,-2.77686223798184,-2.54783383817847,-2.84819942819878,-3.03395803101092,-2.91942356774417,-2.10699429471939,-1.74157171482708,-1.65958874619697,-1.91782746155817,-1.7659895461537,-1.9138552240649,-2.26748605149801,-2.13472010707146
2015,-2.59874349847982,-2.26726549573652,-2.24860385223247,-2.49463221810851,-1.7766742175902,-2.41597762887398,-2.74193804763157,-2.54037245837216,-3.02718820736458,-2.71079560580633,-2.65483934946327,-2.93367057579741,-2.17618813931082,-2.89393915657293,-3.12480077917516,-2.92803001037537,-2.17705082613783,-1.81770772964648,-1.83165436675727,-2.05033571810947,-1.33204884973882,-1.92862325996582,-2.36018965973261,-2.15704614454555
2016,-2.52358110039125,-2.18315399830094,-2.02524412890006,-2.46185385867949,-1.97232325905041,-2.41199943006284,-2.70825159030992,-2.55070986065796,-2.93494321938548,-2.62425002422104,-2.41581357448462,-2.88920536161253,-2.38432793530716,-2.87320068335687,-3.08898867706847,-2.92930271319672,-2.1097219999009,-1.7362032589585,-1.60213042675555,-2.02942000404684,-1.56193524057617,-1.92039208336016,-2.3353045780209,-2.16978925111155
2017,-2.54693767536557,-2.1528863030323,-2.27194479661108,-2.38818654074244,-2.01209599791521,-2.54802691073347,-2.61248388227694,-2.48781037821339,-2.94508435529935,-2.58854862116713,-2.68612442919006,-2.79698382402077,-2.39501467949851,-3.01066298065011,-2.98708016789157,-2.86266446557895,-2.13406714111002,-1.7026564125569,-1.85763385841153,-1.97165628694491,-1.61531969327071,-2.06725293223671,-2.23946663616772,-2.11533236789883
2018,-2.54005259384533,-2.20837955087565,-2.23668088763465,-2.42834442169092,-2.6556543344722,-3.05744139886899,-2.5211503368717,-2.3865931519828,-2.97109096079801,-2.64481994840389,-2.63546732202202,-2.86365535950029,-3.0710770299612,-3.5483263518666,-2.90808681058215,-2.76831841751384,-2.10871863837596,-1.75123916492185,-1.82247858023251,-1.98691021989617,-2.26007688623866,-2.57241396052058,-2.12198867336663,-1.99161625215068
2019,-2.71000112994169,-2.42502650802777,-2.40082227390323,-2.37397438276729,-2.13783034050515,-3.3409061349565,-2.62759434110877,-2.47514350023013,-3.13784406098642,-2.8734634489347,-2.83114439714587,-2.812959536654,-2.52239597675519,-3.8333655610597,-3.0172260432701,-2.87151273732072,-2.28662157893767,-1.9890255901076,-1.98383268754978,-1.92912267291126,-1.74380370191354,-2.86228251642296,-2.22615153992079,-2.0760201940211
2020,-2.68021376596524,-2.49947375145489,-2.38965887575954,-2.36659374740347,-2.43359920386199,-3.51915237895448,-2.59703528476248,-2.42839492560351,-3.13367971681228,-2.99639129919363,-2.82653518910752,-2.83842609810146,-2.85556816711467,-4.04006202807203,-3.0156883291199,-2.8492089763256,-2.22323975334697,-2.02769457241946,-1.96243040479641,-1.89373542661449,-1.98011924557968,-3.00958329789577,-2.15756375612122,-1.99663818887777
2021,-2.69492486636992,-2.64531325586359,-2.35153361885624,-2.47289114988091,-2.73783324908335,-3.6690357639793,-2.58354595120769,-2.4489049158488,-3.19756947601881,-3.18098585725957,-2.83288199987025,-2.9864853621337,-3.15984170095225,-4.22757610466796,-3.0317138477536,-2.89517186899514,-2.18853739644693,-2.10726595285162,-1.89457480572825,-1.9603064381341,-2.32177680563155,-3.11752918159962,-2.12000032041603,-1.97695366145794
